Index,Judul,Aktual,Deskripsi,Rubrik,Tag,Cossine Rekomend,Jaccard Recommned,MAE_Cos,MAE_Jac,MAE_Cos2,MAE_Jac2
10,"Pertumbuhan Angkatan Kerja dan Lowongan Kerja Tak Berimbang, Disnakertrans Mesuji Lirik Alumni SMA dan SMK","[6, 7, 8, 9, 11]",tumbuh angkat kerja lowong kerja tak imbang disnakertrans mesuji lirik alumni sma smk dinas tenaga kerja transmigrasi disnakertrans kabupaten mesuji lirik potensi calon angkat kerja dunia didik kait disnakertrans kabupaten mesuji ada rapat koordinasi ketua musyawarah kerja kepala sekolah mkks sma ketua mkks smk bursa kerja giat dilatarbelakangi tumbuh angkat kerja banding tumbuh lapang kerja lowong kerja tidak imbang menganalisa sebut giat dasar laksana giat mampu ungkit tingkat sempat kerja sasar potensi angkat kerja siswa calon alumni atau alumni sma smk tidak turun tingkat persentasase sempat kerja kabupaten mesuji kait sebut penting variabel duduk usia kerja bagai potensi jadi angkat kerja pemkab mesuji sama mkks sekolah saling dukung beri treatment calon alumni alumni sekolah tumbuh angkat kerja angkat kerja lowong kerja,Mesuji,"Pertumbuhan Angkatan Kerja, angkatan kerja, lowongan kerja","[9, 6, 8, 11, 7]",[11 30 34 39 47],0,4,0,16
11,Bawaslu Tulang Bawang Buka Rekrutmen Panwascam,"[6, 7, 8, 9, 10]",bawaslu tulang bawang buka rekrutmen panwascam badan awas pilih umum bawaslu kabupaten tulang bawang buka lowong kerja bawaslu buka rekrutmen lowong kerja jadi panitia awas camat panwascam beberapa syarat harus penuh para daftar antara usia minimal tahun pernah penjara dasar putus adil jadi anggota partai politik telah undur diri kurang kurang lima tahun daftar pernah jadi anggota tim kampanye jumlah syarat administrasi lain umum lowong kerja laksana lama tujuh hari dengan tiba waktu buka daftar tahu bawaslu lampung rekrut banyak orang panwascam isi camat ada lampung nanti tugas awas jalan milu datang panwascam bawaslu tulang bawang lowong kerja,Advetorial,"panwascam, bawaslu tulang bawang, lowongan kerja","[9, 6, 58, 8, 7]",[12  6  7 13 14],1,3,1,9
12,"Muncul Dukungan Jokowi Jadi Ketum PDIP 2024, PPD Ikut Beri Komentar","[13, 14, 15, 17, 16]",muncul dukung jokowi jadi tum pdip ppd ikut beri komentar ketua umum awal pancasila damai ppd washinton p situmorang nilai mekanisme pilih kader pdi juang jalan baik patut apresiasi partai telah cetak kader kader kualitas telah bukti rekam jejak antara bu risma pak ganjar pak azwar anaz masuk pak jokowi lain ungkap washinton jumat oktober itu washinton paling bukti mekanisme partai telah jalan baik perlu apresiasi diri sampai nyata sebut kait muncul dukung presiden joko widodo jokowi jadi ketua umum pdip tahun pdi juang pdip jokowi,Politika,"PDI perjuangan, PDIP, Jokowi","[17, 14, 13, 16, 15]",[13 14 17 16 11],0,1,0,1
13,"Bepesan Agar Golkar Jangan Sembrono Pilih Capres, Jokowi: Silakan Terjemahkan Sendiri...","[12, 14, 15, 16, 17]",bepesan golkar jangan sembrono pilih capres jokowi sila terjemah sendiri harap partai golkar cermat tentu calon presiden calon wakil presiden hadap pilih umum datang presiden joko widodo masuk jokowi sebut tersamapaikan kala diri hadir acara puncak hari ulang tahun partai golkar hall c jiexpo mayor jakarta pusat yakin yakin yakin golkar dengan cermat dengan teliti dengan hati hati sembrono deklarasi calon presiden wakil presiden kata jokowi jakarta jumat oktober malam pantau ingat puncak hut partai golkar hadir jumlah tokoh partai sebut wakil presiden ke sekaligus mantan tum partai golkar jusuf kalla juga mantan tum partai golkar akbar tanjung aburizal bakrie capres golkar jokowi,Politika,"Capres, Golkar, Jokowi","[14, 12, 16, 15, 17]",[14 12 11 16 15],0,1,0,1
14,Pesan Jokowi Saat Hadiri Acara Puncak HUT ke-58 Partai Golkar: Pilih Capres Jangan Sembrono...,"[12, 13, 15, 16, 17]",pesan jokowi hadir acara puncak hut partai golkar pilih capres jangan sembrono presiden joko widodo minta partai golkar cermat tentu calon presiden calon wakil presiden hadap pilih umum saran jokowi sebut lontar hadir acara puncak hari ulang tahun partai golkar hall c jiexpo mayor jakarta pusat yakin yakin yakin golkar dengan cermat dengan teliti dengan hati hati sembrono deklarasi calon presiden wakil presiden ujar jokowi jakarta jumat oktober malam ingat puncak hut partai golkar hadir jumlah tokoh partai sebut lain wakil presiden ke sekaligus mantan tum partai golkar jusuf kalla juga mantan tum partai golkar akbar tanjung aburizal bakrie capres golkar jokowi,Politika,"Capres, Golkar, Jokowi","[13, 12, 16, 15, 17]",[13 12 11 15 16],0,1,0,1
15,"Dari Kapolri, Kapolda, Kapolresta dan Kapolres Dipanggil Presiden Jokowi ke Istana Negara Siang Ini","[12, 13, 14, 16, 17]",kapolri kapolda kapolresta kapolres panggil presiden jokowi istana negara siang jajar kapolda kapolres se indonesia kumpul presiden joko widodo istana negara jumat oktober siang turut panggil istana kapolri jenderal listyo sigit prabowo juga beberapa jabat utama mabes polri presiden jokowi jadwal beri arah kapolri seluruh jajaranya pukul wib seperti kutip pmjnews kumpul beberapa jabat tinggi polri sudah tulis surat telegram rahasia tr kapolri nomor str x hum tanggal oktober kapolda kapolri jokowi presiden,Berita Utama,"Kapolda, Kapolri, Jokowi, Presiden","[16, 13, 14, 17, 12]",[16 14 12 13 43],0,1,0,1
16,"Panggil Pejabat Polri Tanpa Ajudan, Begini Penjelasan Jokowi ke Awak Media","[15, 12, 13, 14, 17]",panggil jabat polri ajudan begini jelas jokowi awak media presiden joko widodo jokowi kabar bakal beri arah seluruh jabat polri rencana arah nanti beri presiden beberapa pihak sebut tuang surat telegram rahasia str nomor str c hum tanggal rabu oktober edar kalang internal wartawan surat telegram rahasia edar presiden rencana panggil jajar polri ikut arah gelar pukul wib kena seragam dinas tutup kepala tongkat tetapi tahu lebih jelas kait arah apa hendak sampai presiden jokowi para petinggi polisi jokowi kata masyarakat dengar apa nanti akan sampai surat telegram rahasia polri jokowi,Nasional,"Surat Telegram Rahasia, Polri, Jokowi","[15, 13, 14, 17, 12]",[15 12 45 23 47],0,3,0,9
17,"Isu Hubungan Renggang Dengan Jokowi, Megawati Hanya Tersenyum","[12, 13, 14, 15, 16]",isu hubung renggang jokowi megawati senyum sekretaris jenderal dpp pdi juang pdip hasto kristiyanto buka suara soal isu kereta hubung megawati soekarnoputri presiden joko widodo hasto megawati senyum eleng kepala sampai bagai isu kait hubung jokowi hasto aku ia sama pramono anung saksi lantik dewan hormat urus bpip dua tokoh bicara akrab bahkan acara lantik presiden jokowi megawati bicara empat mata tuju mobil presiden gandeng tangan megawati hasto ungkap bagai isu hubung jokowi dan megawati memang sering muncul orang orang tanggung jawab megawati pdip jokowi,Berita Utama,"Megawati, PDIP, Jokowi","[12, 16, 14, 13, 15]",[12 16 43 14 13],0,1,0,1
18,Bareskrim Polri Akan Panggil Petinggi Afi Farma Soal Kasus Gagal Ginjal Akut,"[19, 21, 20, 22, 23]",bareskrim polri panggil petinggi afi farma soal kasus gagal ginjal akut bareskrim polri segera panggil petinggi pt afi farma kait kasus gagal ginjal akut tahu kasus gagal ginjal akut duga asal obat sirup kandung etilen glikol eg dietilen glikol deg produksi pt afi farma bareskrim polri laku periksa pt afi farma pihak bpom temu ada obat sirup sebab gagal ginjal akut temu lalu pihak bpom laku periksa tiga gudang milik pt afi farma penggerebakan polisi sita bahan baku obat kandung eg deg penny dapat obat rupa temu bpom indikasi kandung zat bahaya salah satu dampak gagal ginjal akut obat afi farma sebut diri paracetamol drop sirop kandung cair kimia bahaya lebih ambang batas dapat sebab gagal ginjal akut gagal ginjal akut panggil polri bareskrim polri kasus,Berita Utama,"Gagal Ginjal Akut, Dipanggil, Polri, bareskrim polri, kasus","[21, 22, 19, 20, 23]",[21 19 22 20 23],0,0,0,0
19,"Begini Modus Perusahaan Pemasok Bahan Baku Sirup yang Sebabkan Kasus Gagal Ginjal Akut, Aksinya Tak Terpuji..","[21, 20, 18, 22, 23]",begini modus usaha pasok bahan baku sirup sebab kasus gagal ginjal akut aksi tak puji bareskrim polri ungkap modus telah laku cv samudra chemical pasok bahan baku obat sirup pt afi farma kasus gagal ginjal akut sebab ratus anak indonesia tinggal dunia karo penmas divisi humas polri brigjen pol ahmad ramadhan jelas hasil lidi temu barang bukti buah drum isi senyawa propilen glikol pg etilen glikol eg duga pes pt afi farma jelas cv samudra chemical duga guna drum label dow palsu kemudian duga guna oplos zat cemar eg sehingga kandung lebih ambang batas telah pakat kasus gagal ginjal akut terus dilidik bareskrim polri usaha periksa yakni cv samudra chemical ini dikarenakanya temu puluh drum isi etilen glikol eg dietilen glikol deg kasus gagal ginjal gagal ginjal akut modus usaha bareskrim polri,Berita utama,"Kasus Gagal Ginjal, Gagal Ginjal Akut, Modus, Perusahaan, Bareskrim Polri","[21, 18, 23, 20, 22]",[21 22 18 23 20],0,0,0,0
20,"Kasus Gagal Ginjal Akut, Ada Dua Perusahaan Farmasi Dilaporkan ke Bareskrim Polri","[19, 21, 18, 22, 23]",kasus gagal ginjal akut usaha farmasi lapor bareskrim polri badan awas obat makan bpom lapor usaha farmasi bareskrim polri kait langgar atur memgenai kasus gagal ginjal akut anak kepala bpom penny k lukito jelas dua usaha farmasi lapor telah langgar cara buat obat baik cpob tiga usaha gerak bidang farmasi langgar cpob pt yarindo farmatama pt universal pharmaceutical industries pt afi farma kini tiga usaha sedang proses tetap pidana bukti guna bahan baku senyawa kimia lebih ambang batas aman kait rebak sakit gagal ginjal akut anak polisi memenaggil beberapa jabat badan awas obat makan bpom tahu kasus rebak sakit gagal ginjal akut anak polri tengah laku sidi sidi laku polri temu cukup bukti ada duga tindak pidana kasus gagal ginjal akut anak karena bareskrim naik status lidi tahap sidi kasus gagal ginjal gagal ginjal akut lapor usaha bareskrim polri farmasi,Berita Utama,"Kasus Gagal Ginjal, Gagal Ginjal Akut, dilaporkan, perusahaan, bareskrim polri, farmasi","[21, 22, 18, 23, 19]",[21 22 18 23 19],0,0,0,0
21,Pemasok Bahan Pelarut Sirup yang Diduga Sebabkan Gagal Ginjal Akut Akan Diperiksa Polri,"[19, 20, 18, 22, 23]",pasok bahan larut sirup duga sebab gagal ginjal akut periksa polri kasus gagal ginjal akut terus dilidik bareskrim polri bareskrim polri laku periksa pasok bahan larut obat sirup usaha periksa yakni cv samudra chemical ini dikarenakanya temu puluh drum isi etilen glikol eg dietilen glikol deg usaha pihak bareskrim polri periksa jumlah masyarakat sekitat lokasi juga masuk saksi berinidial e rupa anak milik cv samudra chemical badan awas obat makan bpom lapor usaha farmasi bareskrim polri kait langgar atur memgenai kasus gagal ginjal akut anak kepala bpom penny k lukito jelas usaha farmasi lapor telah langgar cara buat obat baik cpob tiga usaha gerak bidang farmasi langgar cpob pt yarindo farmatama pt universal pharmaceutical industries pt afi farma kini tiga usaha sedang proses tetap pidana bukti guna bahan baku senyawa kimia lebih ambang batas aman tahu kasus rebak sakit gagal ginjal akut anak polri tengah laku sidi sidi laku polri temu cukup bukti ada duga tindak pidana kasus gagal ginjal akut anak karena bareskrim naik status lidi tahap sidi periksa akut gagal ginjal bareskrim polri kasus,Berita Utama,"periksa, akut, gagal ginjal, bareskrim polri, kasus","[20, 19, 18, 23, 22]",[20 19 18 23 22],0,0,0,0
22,"Siap-siap, Bareskrim Polri Segera Umumkan Tersangka Kasus Gagal Ginjal Akut","[19, 21, 20, 18, 23]",siap siap bareskrim polri segera umum sangka kasus gagal ginjal akut bareskrim polri segera umum sangka kasus gagal ginjal akut sebab ratus anak tinggal dunia tim sidik gabung bareskrim polri bpom naik status perkara sidi direktur tindak pidana tentu dirtipidter bareskrim polri brigjen pol pipit rismanto kata tingkat status kasus lidi sidi pt afi pharma usaha farmasi pt afi pharma duga produksi sedia farmasi jenis obat sirop kandung etilen glikol eg lebih ambang batas harus mg jelas pt afi pharma produksi sedia obat jenis sirop merk paracetamol obat generik kandung eg lebih abang batas laku uji laboratorium badan awas obat makan bpom mg sidi kasus gagal ginjal sidik polri produsen obat sirop pt afi pharma dua industri farmasi lain temu guna bahan baku propilen glikol lampau ambang batas aman tangan bpom akut sangka gagal ginjal polri bareskrim polri,Berita Utama,"akut, tersangka, gagal ginjal, polri, bareskrim polri","[18, 20, 21, 23, 19]",[20 19 21 18 23],0,0,0,0
23,"Labfor Polri Turun Tangan Soal Dugaan Gagal Ginjal Akut Anak, Beberapa Pasien Diperiksa","[18, 19, 20, 21, 22]",labfor polri turun tangan soal duga gagal ginjal akut anak beberapa pasien periksa bareskrim polri laku lidi soal kasus gagal ginjal akut anak ini labfor polri turun tangan laku periksa soal gagal ginjal akut anak labfor polri sedang ajar hasil sampel pasien kini jalan awat medis jumlah rumah sakit proses lidi bpom kemenkes sidik ajar hasil sampel laboratorium seluruh indonesia pasien gagal ginjal jelas senin oktober kutip fin co id dedi sampel pasien gagal ginjal akut kumpul tim gabung bakal bawa jakarta uji labfor polri telusur sebab gagal ginjal alami pasien juga sebut pihak laku dalam dua usaha farmasi periksa kait edar obat duga kandung etilen glikol eg dietilen glikol deg lebih ambang batas dengan ini total ada tiga usaha farmasi periksa bareskrim polri kena obat sirup duga sebab gagal ginjal akut ini memang sidik terus dalam duga lalai telah laku usaha sidik lengkap bukti penuh unsur duga tindak pidana akut anak gagal ginjal usaha bareskrim polri farmasi,Berita Utama,"akut anak, gagal ginjal, perusahaan, bareskrim polri, farmasi","[21, 20, 18, 19, 22]",[21 22 20 18 19],0,0,0,0
24,5 Hotel Terdekat Dari Pusat Kota Bandar Lampung Dengan Rating Memuaskan,"[25, 27, 28, 26, 29]",hotel dekat pusat kota bandar lampung rating muas buat kalian sedang libur bandar lampung bingung cari hotel dekat kalian tenang beberapa rekomendasi hotel bisa kalian kunjugi pasti dekat pusat kota bandar lampung hotel whiz prime hotel whiz prime salah satu hotel baik dekat pusat kota bandar lampung bisa kalian coba hotel horison lampung hotel horison lampung hotel dua bisa kalian coba libur milik letak ada pusat kota bandar lampung jadi hotel horison salah satu pilih tepat hotel radisson lampung hotel radisson milik letak cukup strategis hubung langsung mall boemi kedaton juga dekat kampus aneka tempat kuliner rumah sakit belleza grand anugerah hotel grand anugerah milik akses cukup dekat bagai tempat kuliner grand cityhub hotel hotel lima ada dekat pusat kota bandar lampung bisa kalian cobaiin harga murah banyak promonya dekat mall akses angkut umum bagai leseh kuliner malam pusat kota inap hotel,Ekonomi Bisnis,"Pusat kota, penginapan, hotel","[25, 26, 27, 28, 29]",[25 26 27 28 29],0,0,0,0
25,"Catat, Ini 6 Hotel di Lampung yang Dekat Dengan Pantai","[26, 24, 27, 28, 29]",catat hotel lampung dekat pantai rasa sangat senang inap hotel dekat objek wisata nikmat suasana pantai indah buat kalian ingin libur sama orang cinta kalian kunjung beberapa rekomendasi hotel ada lampung lengkap wisata libur pantai indah hotel mutiara alam zandino club lebih kenal kru surf camp salah satu hotel lampung letak hadap langsung pantai pesisir indah pukau hotel sartika kru milik jarak sangat dekat bagai wisata libur pantai indah jadi hotel sartika kru layak pilih hotel sunset beach hotel pinggir pantai indah cocok banget buat kalian ingin inap sambil libur wisata pantai hotel tantra lampung dekat wisata libur pantai hotel tantra lampung juga salah satu hotel bintang fasilitas lengkap sangat muas lovina kru surf hotel bintang ada lampung wajib banget kalian pilih libur hotel lovina sangat dekat wisata pantai tanjung setia sangat indah bersih hotel beocean kru hotel beocean kru salah satu hotel paling banyak buru wisatawan kunjung lampung buat kalian tidak suka selancar unjung renang kolam renang ada beocean kru destinasi lampung wisata lampung inap hotel pantai,WISATA & KULINER,"Destinasi lampung, wisata lampung, Penginapan, hotel, pantai","[24, 27, 26, 28, 29]",[24 26 27 28 29],0,0,0,0
26,"5 Hotel di Lampung dengan Pelayanan Terbaik, Sangat Memuaskan dan Wajib Kalian Coba","[25, 24, 27, 28, 29]",hotel lampung layan baik sangat muas wajib kalian coba sangat senang rasa dapat layan baik inap hotel lampung hotel lampung layan baik sangat muas wajib kalian coba novotel lampung novotel lampung salah satu hotel ada bandar lampung milik layan baik sangat muas amalia hotel amalia hotel lampung selalu komitmen beri puas unjung selalu beri layan baik horison lampung hotel horison lampung milik nilai bersih baik mata masyarakat banyak tamu sudah kunjung beri ulas nilai sangat muas hotel golden tulip springhill hotel golden tulip springhill ada di bandar lampung hasil beri layan baik para unjung batiqa hotel lampung batiqa hotel lampung konsep bistro nuansa hangat hasil bius para tamu layan baik beri layan muas baik hotel,Ekonomi Bisnis,"pelayanan memuaskan, terbaik, hotel","[24, 27, 25, 28, 29]",[27 25 24 29 28],0,0,0,0
27,5 Hotel di Lampung dengan Pemandangan atau View Terbaik,"[25, 26, 24, 28, 29]",hotel lampung pandang view baik rekomendasi hotel lampung pandang indah sangat pukau mata jadi pilih kalian ingin inap hotel emersia hotel salah satu hotel lampung milik pandang indah sangat pukau novotel lampung novotel lampung milik pesona pandang indah luar bisa para unjung inap novotel lampung kalian lihat pesona indah pandang laut biru gunung hotel bukit randu hotel bukit randu salah satu hotel bintang lampung milik pandang indah sangat tawan hati tinggi kurang lebih meter atas muka laut hotel milik pandang indah sudut kota derajat sangat pukau aston lampung city aston lampung city lokasi jl gatot subroto no garuntang teluk betung selatan bandar lampung suguh pandang luar biasa indah sheraton lampung hotel pandang indah milik hotel sheraton asal nuansa hijau pohon kelapa bikin damai rasa tenang ada sana view baik inap hotel,Ekonomi Bisnis,"View Terbaik, penginapan, hotel","[25, 26, 24, 29, 28]",[26 25 29 24 28],0,0,0,0
28,"7 Hotel Murah di Lampung, Lengkap Dengan Fasilitas Menarik yang Bikin Nyaman","[25, 26, 27, 24, 29]",hotel murah lampung lengkap fasilitas tarik bikin nyaman inap hotel murah lampung jadi pilih tepat kalian ingin lepas penat istirahat nyaman hotel murah lampung lengkap fasilitas tarik bikin unjung nyaman chandra inn hotel harga rp ribu omah akas syariah harga per malam inap kisar rp ribu bintang guest house per malam hanya rp ribu lengkap fasilitas bikin kalian nyaman flip flop hostel lampung mulai harga rp ribu per malam murah banget kan wisma amandari mulai rp an lengkap g hotel syariah g hotel syariah tawar rp ribu per malam kalian bisa rasa nas inap dengan layan baik ramah senang hotel andalas permai hotel andalas permai tawar bagai harga murah kisar rp ribu per malam bandar lampung inap hotel,Ekonomi Bisnis,"bandar lampung, penginapan, hotel","[29, 24, 26, 25, 27]",[29 24 25 27 26],0,0,0,0
29,5 Hotel Berbintang di Bandar Lampung Tawarkan Promo Menarik Special Weekend,"[24, 25, 26, 27, 28]",hotel bintang bandar lampung tawar promo tarik special weekend beberapa hotel bintang bandar lampung tawar promo tarik special weekend khusus unjung ingin santa nikmat akhir pekan promo tarik special weekend hotel bintang ada bandar lampung swiss belhotel lampung swiss belhotel lampung tawar promo spesial weeekend promo paket kamar tipe deluxe harga spesial rp ribu sheraton lampung hotel sheraton lampung rupa salah satu inap baik ada kota bandar lampung promo september harga spesial rp ribu bukit randu hotel bukit randu tawar potong harga coorporate nila rp ribu type room superior superior king hotel astoria hotel astoria tawar tipe kamar superior nila rp ribu hotel whiz prime lampung beri harga khusus tipe kamar superior rate rp ribu promo hotel weekend,Ekonomi Bisnis,"Promo, hotel, weekend","[28, 24, 26, 27, 25]",[27 28 24 26 25],0,0,0,0
30,UBL Riset Bersama Diskominfotiksan Pemkab Pesawaran,"[31, 32, 33, 34, 35]",ubl riset sama diskominfotiksan pemkab sawar universitas bandar lampung ubl dinas komunikasi informatika sandi kabupaten sawar diskominfotiksan kab sawar tengah laku riset sama rancang bangun platform one centre arsitektur teknologi integrasi layan ekosistem data inovasi hasil teliti komputasi tepi layan mikro data tanam tiap opd tingkat mampu bagi pakai data informasi layan publik sudah guna sistem elektronik kabupaten sawar tidak perlu beli sistem baru mahal visualisasi pusat komando yaitu one centre kabupaten sawar unggul inovasi adalah tingkat interoprabilitas data spbe sawar menggangu layan publik sedang jalan dapat akses pusat komando rogram kerjasama sebut laksana mulai bulan juli hingga desember tahun dua tempat di pusat studi teknologi informasi ubl di kota bandar lampung dinas komunikasi informatika sandi kabupaten sawar abdi ubl,Pendidikan,"pengabdian, UBL","[34, 32, 31, 35, 33]",[32 34 33 48 50],0,2,0,4
